modelo,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.9411764705882353,0.9929824561403509,0.9464882943143813,0.9691780821917808,0.9515050167224081
gradient_boosting,0.9836601307189542,0.9932885906040269,0.9899665551839465,0.9916247906197655,0.9311992355470615
random_forest,0.9771241830065359,0.9866666666666667,0.9899665551839465,0.988313856427379,0.9128045867176302
knn,0.9313725490196079,0.9964285714285714,0.9331103678929766,0.9637305699481865,0.9092212135690396
decision_tree,0.9771241830065359,0.9866666666666667,0.9899665551839465,0.988313856427379,0.7107023411371238
