modelo;accuracy;precision;recall;f1;roc_auc
logistic_regression;0.9545454545454546;0.9919678714859438;0.9610894941634242;0.9762845849802372;0.9444135630906059
random_forest;0.9696969696969697;0.9882352941176471;0.980544747081712;0.984375;0.9077265147304058
gradient_boosting;0.9734848484848485;0.9921259842519685;0.980544747081712;0.9863013698630136;0.8571428571428571
decision_tree;0.9734848484848485;0.9921259842519685;0.980544747081712;0.9863013698630136;0.848804891606448
knn;0.946969696969697;0.9919028340080972;0.953307392996109;0.9722222222222222;0.8393551973318509
